Platform,URL
Wii,https://www.freeiconspng.com/thumbs/wii-icon/wii-console-icon-1.png
NES,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/SNES-Mod1-Console-Set.png/1280px-SNES-Mod1-Console-Set.png
GB,https://lirp-cdn.multiscreensite.com/1677e7ce/dms3rep/multi/opt/gbairl-640w.png
DS,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/DSLite_white_trans.png/1127px-DSLite_white_trans.png
X360,https://cdn.instructables.com/ORIG/FIO/ABER/GQ5Q4R7N/FIOABERGQ5Q4R7N.png
PS3,https://www.pngall.com/wp-content/uploads/2016/07/PlayStation-PNG-Image-PNG-Clipart.png
PS2,https://upload.wikimedia.org/wikipedia/commons/5/58/PS2-Fat-Console-Set.png
SNES,https://i.pinimg.com/originals/f6/11/cd/f611cd7f140a82d021292ded41f03e48.png
GBA,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/e483edbf-4b49-42e8-a684-cdf17c4f227f/dd3c8ms-f7504566-4677-48ec-9cbf-1a736f433592.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcL2U0ODNlZGJmLTRiNDktNDJlOC1hNjg0LWNkZjE3YzRmMjI3ZlwvZGQzYzhtcy1mNzUwNDU2Ni00Njc3LTQ4ZWMtOWNiZi0xYTczNmY0MzM1OTIucG5nIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.POuFaxNiHdCx684Tb0K9F9Ayfzv8TyoHBnEdbTuz7KI
3DS,https://upload.wikimedia.org/wikipedia/commons/a/a1/New_Nintendo_3DS.png
PS4,https://gmedia.playstation.com/is/image/SIEPDC/ps4-pro-image-block-01-en-24jul20?$native--t$
N64,https://upload.wikimedia.org/wikipedia/commons/2/27/Nintendo-64-Console-FL.png
PS,https://pngimg.com/uploads/sony_playstation/sony_playstation_PNG17532.png
XB,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Microsoft-Xbox-One-Console-wKinect.png/800px-Microsoft-Xbox-One-Console-wKinect.png
PC,https://www.seekpng.com/png/full/856-8562997_intel-z390-2-way-gpu-tower-gaming-desktop.png
2600,https://www.seekpng.com/png/full/222-2221051_atari-2600.png
PSP,https://www.freeiconspng.com/uploads/psp-icon-5.png
XOne,https://www.windowscentral.com/sites/wpcentral.com/files/field/image/2019/04/xbox-one-s-face-off.png?itok=2Ti__gMM
GC,https://upload.wikimedia.org/wikipedia/commons/2/2b/GameCube-Console-Set.png
WiiU,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Wii_U_Console_and_Gamepad.png/300px-Wii_U_Console_and_Gamepad.png
GEN,https://www.smachz.com/static/imgs/front-main-console.png
DC,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Dreamcast-Console-Set.png/800px-Dreamcast-Console-Set.png
PSV,https://www.impulsegamer.com/vita/psvita01.png
SAT,https://metro.co.uk/wp-content/uploads/2016/07/sega-saturn.png
SCD,https://i.imgur.com/zxCbxqW.png
WS,https://www.pikpng.com/pngl/b/86-862743_bezel-bandai-wonderswan-color-handheld-full-device-screen.png
NG,https://upload.wikimedia.org/wikipedia/commons/7/73/Nintendo_Switch_Portable.png
TG16,https://cdn-0.enacademic.com/pictures/enwiki/84/TurboGrafx16-Console-Set.png
3DO,https://upload.wikimedia.org/wikipedia/commons/1/1c/3DO-FZ1-Console-Set.png
GG,https://mem.neptunjs.com/njs/img/segaGG.png
PCFX,https://upload.wikimedia.org/wikipedia/commons/b/bf/PC-FX-Console-Set.png
